label,num_heavy,degree,ligand
1hvy,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1hvy/ligand.mol
1n46,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1n46/ligand.mol
1uml,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1uml/ligand.mol
1n2v,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1n2v/ligand.mol
1of1,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1of1/ligand.mol
1ywr,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1ywr/ligand.mol
1gkc,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1gkc/ligand.mol
1v4s,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1v4s/ligand.mol
1u4d,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1u4d/ligand.mol
1kzk,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1kzk/ligand.mol
1owe,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1owe/ligand.mol
1t9b,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1t9b/ligand.mol
1s3v,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1s3v/ligand.mol
1s19,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1s19/ligand.mol
2bm2,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/2bm2/ligand.mol
1sq5,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1sq5/ligand.mol
1hwi,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1hwi/ligand.mol
1sj0,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1sj0/ligand.mol
1ig3,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1ig3/ligand.mol
1hww,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1hww/ligand.mol
1pmn,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1pmn/ligand.mol
1of6,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1of6/ligand.mol
1gpk,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1gpk/ligand.mol
1q41,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1q41/ligand.mol
1n1m,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1n1m/ligand.mol
1q1g,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1q1g/ligand.mol
1w2g,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1w2g/ligand.mol
1xoq,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1xoq/ligand.mol
1tz8,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1tz8/ligand.mol
1t40,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1t40/ligand.mol
1hp0,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1hp0/ligand.mol
1j3j,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1j3j/ligand.mol
1r55,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1r55/ligand.mol
1nav,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1nav/ligand.mol
1tow,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1tow/ligand.mol
1yvf,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1yvf/ligand.mol
1opk,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1opk/ligand.mol
2br1,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/2br1/ligand.mol
1r58,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1r58/ligand.mol
1oq5,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1oq5/ligand.mol
1jla,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1jla/ligand.mol
1mzc,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1mzc/ligand.mol
1hnn,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1hnn/ligand.mol
1ke5,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1ke5/ligand.mol
1tt1,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1tt1/ligand.mol
1jje,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1jje/ligand.mol
1sqn,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1sqn/ligand.mol
1yv3,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1yv3/ligand.mol
1v0p,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1v0p/ligand.mol
1uou,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1uou/ligand.mol
1x8x,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1x8x/ligand.mol
1l7f,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1l7f/ligand.mol
1r9o,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1r9o/ligand.mol
2bsm,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/2bsm/ligand.mol
1y6b,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1y6b/ligand.mol
1sg0,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1sg0/ligand.mol
1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1oyt/ligand.mol
1q4g,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1q4g/ligand.mol
1r1h,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1r1h/ligand.mol
1vcj,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1vcj/ligand.mol
1g9v,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1g9v/ligand.mol
1ia1,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1ia1/ligand.mol
1xm6,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1xm6/ligand.mol
1l2s,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1l2s/ligand.mol
1u1c,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1u1c/ligand.mol
1v48,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1v48/ligand.mol
