label,parent,num_heavy,degree,ligand
2qr2,1sg0,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1qr2,1sg0,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2bzs,1sg0,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1xi2,1sg0,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1zx1,1sg0,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2a2x,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2c90,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1no9,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2bvr,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1h8i,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1afe,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ypm,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ypg,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1hxe,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2gde,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1xm1,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2c8w,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1sb1,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ghy,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
8kme,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1c4u,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1abj,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1mu6,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1k21,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1lhg,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1t4v,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1zgi,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1c5o,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1nzq,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1zrb,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1thr,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1qbv,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2c8z,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1nt1,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ypj,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1d3d,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1o5g,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2c93,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1d3p,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1doj,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2ank,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1mue,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1gj5,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1hxf,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1w7g,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1a46,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1hah,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1k22,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ktt,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ay6,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1eb1,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1lhc,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1g37,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ba8,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1nm6,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1g30,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1c5l,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2feq,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1t4u,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1lhd,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1mu8,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1kts,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1z71,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1c1w,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ta6,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1nrr,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2c8y,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ghw,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1sgi,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1o2g,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2cf8,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1d4p,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2gp9,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1fpc,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1sl3,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1tmu,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1a4w,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1dx5,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ad8,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ypk,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2fes,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1lhf,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1zgv,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1g32,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1c5n,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1o0d,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1hag,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ths,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1vzq,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1c1u,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2cn0,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1way,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1tom,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1sfq,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
5gds,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1bcu,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1a5g,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
7kme,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2bvs,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
4thn,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1aht,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ypl,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1uma,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ghx,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1tmb,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2anm,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
1ghv,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
2c8x,1oyt,1000,0,/projects/ml/ligand_datasets/benchmarks/astex_diverse_set/1p2y/ligand.mol
